5701109;42806509;42806511;
5701109;42806511;42806514;
5703787;3324555208;3324555204;
5703787;3324555204;3286388579;
5703787;3286388579;42806514;
5703787;42806514;3286570949;
5703787;3286570949;3286570952;
5703787;3286570952;42850891;
5706845;42794897;42858230;
5706845;42858230;42806511;
5706845;42806511;3324555210;
5706845;3324555210;42809649;
5706845;42809649;42862217;
275286700;42858223;42858226;
275286700;42858226;42858230;
275286701;42850891;3286570951;
275286701;3286570951;3286570950;
275286701;3286570950;42851041;
275286701;42851041;42858230;
